Observation,Sol,NoParenSol,Target_Name,Silicon_Oxide(SiO2),RMSE_Silicon_Oxide,Silicon_Oxide_StDEV,Titanium_Oxide(TiO2),RMSE_Titanium_Oxide,Titanium_Oxide_StDEV,Aluminum_Oxide(AI2O3),RMSE_Aluminum_Oxide,Aluminum_Oxide_StDEV,Iron_Oxides_Total(FeOT),RMSE_Iron_Oxide_Total,Iron_Oxide_Total_StDEV,Magnesium_Oxide(MgO),RMSE_Magnesium_Oxide,Magnesium_Oxide_StDEV,Calcium_Oxide(CaO),RMSE_Calcium_Oxide,Calcium_Oxide_StDEV,Sodium_Oxide(Na2O),RMSE_Sodium_Oxide,Sodium_Oxide_StDEV,Potassium_Oxide(K2O),RMSE_Potassium_Oxide,Potassium_Oxide_StDEV,Sum_of_Oxides,Distance_Rover_m,Spectrum_Total
CL5_425106963CCS_F0060658CCAM05311P3.CSV,311,311,Piling,43.1,5.1,0.5,1.1,0.52,0.06,7.3,3.3,0.4,21.2,4.4,0.6,9.5,2.5,0.5,3.8,1.4,0.7,1.97,0.63,0.11,0.42,0.63,0.12,88.47,3.9267,8.47E+14
CL5_425107040CCS_F0060658CCAM05311P3.CSV,311,311,Piling,41.3,5.3,1.2,1.47,0.61,0.12,6.8,3.3,0.2,22.7,4.5,1.3,9.1,2.4,0.6,3.6,1.3,0.3,2.01,0.63,0.05,0.43,0.63,0.05,87.43,3.9267,9.02E+14
CL5_425107106CCS_F0060658CCAM05311P3.CSV,311,311,Piling,43.2,5.1,0.6,1.4,0.59,0.16,8.3,3.4,0.4,22,4.5,0.9,8.6,2.4,1.2,2.5,1.1,0.3,1.86,0.64,0.13,0.67,0.73,0.18,88.47,3.9267,7.81E+14
CL5_425107227CCS_F0060658CCAM05311P3.CSV,311,311,Piling,40.1,5.5,0.6,3.29,1.39,0.18,7.8,3.4,0.6,25,4.7,1.2,7,2.1,0.6,3.2,1.2,0.3,1.92,0.64,0.07,0.57,0.69,0.12,88.83,3.9267,1.32E+15
CL5_425107293CCS_F0060658CCAM05311P3.CSV,311,311,Piling,43.7,5.1,0.7,0.91,0.47,0.08,7.8,3.4,0.8,21.7,4.4,0.3,10.9,2.7,1.7,4.2,1.5,0.8,1.68,0.65,0.09,0.45,0.64,0.11,91.39,3.93112,7.26E+14
CL5_425107432CCS_F0060658CCAM05311P3.CSV,311,311,Piling,43.5,5.1,0.5,0.87,0.47,0.04,6.9,3.3,0.2,21.6,4.4,0.3,10.5,2.7,0.3,6.2,2,0.6,2,0.63,0.06,0.41,0.63,0.06,92.01,3.93112,8.36E+14
CL5_425107554CCS_F0060658CCAM05311P3.CSV,311,311,Piling,51.3,5,0.9,0.81,0.45,0.03,12,3.6,1.3,21.2,4.4,0.8,7.7,2.2,0.7,3.2,1.2,0.5,2.58,0.61,0.19,1.57,1.08,0.29,100.26,3.93112,5.95E+14
CL5_425107620CCS_F0060658CCAM05311P3.CSV,311,311,Piling,46,5,0.6,1.01,0.5,0.04,10.2,3.5,0.7,20.5,4.3,0.4,9,2.4,1.1,3.4,1.3,0.6,2.5,0.61,0.13,0.87,0.81,0.15,93.49,3.93112,9.14E+14
CL5_425107686CCS_F0060658CCAM05311P3.CSV,311,311,Piling,41.1,5.3,0.9,1.07,0.51,0.13,9.6,3.5,0.5,29.2,5,1,7.1,2.1,0.3,3.8,1.4,0.6,2.79,0.61,0.13,0.7,0.74,0.13,95.44,3.97433,2.92E+14
CL5_425185125CCS_F0060658CCAM01312P3.CSV,312,312,Wishart,43.8,5.1,1.7,1.03,0.5,0.1,9.9,3.5,0.3,25.8,4.7,1.5,9.5,2.5,0.3,3.5,1.3,0.4,2.56,0.61,0.22,0.59,0.69,0.08,96.59,6.40434,1.71E+14
