frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,sclk,sol
ROVER,6,224,-1,-6.162,452.986,19.84,-272045.43,8147264.209,-4.589570953,-4.643843224,137.4492751,-4520.88,2125.72,24904.84,532.35,6226.72,-2.229,4.321,-126.358,423861699,297
ROVER,6,308,-1,-11.488,446.662,18.75,-272050.756,8147257.885,-4.589660806,-4.64393413,137.4491685,-4519.79,2147.02,24879.54,537.68,6220.39,-4.851,2.993,-127.639,424045530,299
ROVER,6,410,-1,-16.476,436.427,18.2,-272055.744,8147247.65,-4.589744956,-4.644019267,137.4489958,-4519.24,2166.98,24838.6,542.67,6210.16,-1.164,2.432,-115.615,424218823,301
ROVER,6,450,-1,-18.459,434.519,17.77,-272057.727,8147245.742,-4.589778411,-4.644053114,137.4489636,-4518.81,2174.91,24830.97,544.65,6208.25,-2.956,8.6,-144.856,424306907,302
ROVER,6,560,-1,-40.375,452.974,18.17,-272079.643,8147264.197,-4.590148147,-4.644427184,137.4492749,-4519.21,2262.57,24904.79,566.57,6226.7,-5.918,4.81,151.105,424748148,307
ROVER,6,646,-1,-54.002,439.818,17.33,-272093.27,8147251.041,-4.590378043,-4.644659774,137.449053,-4518.37,2317.08,24852.16,580.19,6213.55,-0.672,5.317,-125.186,424834917,308
ROVER,6,658,-1,-53.752,438.091,17.19,-272093.02,8147249.314,-4.590373825,-4.644655507,137.4490239,-4518.23,2316.08,24845.26,579.94,6211.82,4.232,11.421,-89.96,424931736,309
ROVER,6,704,-1,-58.552,431.343,17.22,-272097.82,8147242.566,-4.590454804,-4.644737435,137.44891,-4518.26,2335.28,24818.26,584.74,6205.07,6.111,0.747,104.848,425281103,313
ROVER,6,804,-1,-61.63,425.611,17.02,-272100.898,8147236.834,-4.590506732,-4.644789972,137.4488133,-4518.06,2347.59,24795.34,587.82,6199.34,-4.121,4.402,160.347,425639020,317
SITE,7,-1,-1,-43.603,420.564,17.36,-272082.871,8147231.787,-4.590202605,-4.64448228,137.4487282,-4518.4,2275.48,24775.15,569.8,6194.29,0,0,0,426264349,324
ROVER,7,0,0,-43.603,420.564,17.36,-272082.871,8147231.787,-4.590202605,-4.64448228,137.4487282,-4518.4,2275.48,24775.15,569.8,6194.29,3.252,2.556,166.614,426264349,324
ROVER,7,136,-1,-42.804,384.339,15.57,-272082.072,8147195.562,-4.590189126,-4.644468643,137.448117,-4516.61,2272.29,24630.25,569,6158.07,0.806,11.843,-118.976,426527327,327
ROVER,7,270,-1,-43.572,349.834,14.38,-272082.84,8147161.057,-4.590202082,-4.644481751,137.4475349,-4515.42,2275.36,24492.23,569.76,6123.56,2.065,2.244,-115.714,426711838,329
ROVER,7,368,-1,-62.093,330.759,12.82,-272101.361,8147141.982,-4.590514543,-4.644797874,137.4472131,-4513.86,2349.44,24415.93,588.29,6104.49,-0.477,5.842,-138.891,426882212,331
SITE,8,-1,-1,-73.378,323.375,11.81,-272112.646,8147134.598,-4.590704928,-4.644990491,137.4470885,-4512.85,2394.58,24386.39,599.57,6097.11,0,0,0,427068249,333
